team_id,ConclusionS1,Conclusion
Aldgat,"Competition for resources among nestlings affected growth in blue tits. Both brood size at hatching and during rearing affected nestling growth traits, being an important factor determining competition level in the nest. On one hand, the number of offspring at the nest right after hatching, which can be considered as early-life nest effects, positively influenced the size of nestlings. Those nestlings born in a nest with a naturally large brood size were structurally larger (larger tarsi) than their conspecifics from nest of smaller brood size. This effects, however, was not present for body mass. Hence, early-nest life competition had a positive influence in nestling size, although it is not a predictor of nestling body condition or energetic reserves. Additionally, it is possible that the positive association between nestling size and brood size at hatching can also partially be due to shared common environmental effects, such as pair identity. In such case, pairs of higher quality would be able to produce larger clutches and also structurally larger nestlings. On the other hand, the number of offspring during rearing, which can be considered a developmental effect, negatively influenced the body mass of nestlings, but not their structural size. Hence, body condition or energetic reserves were strongly affected by the number of nestlings at the nest during the rearing time, being a critical factor determining nestling growth and competitive ability. This decrease of nestling mass but not in tarsus length in large broods can be interpreted as being the result of a selective mortality towards the less competitive nestlings (i.e. the nestlings with lowest body condition).",mixed
Alding,The data supports that growth of nestling blue tits is influenced by competition with siblings.,neg_c
Allora,"Increased clutch size inhibits growth in blue tits, and the most relevant estimate of clutch size is that directly after experimental manipulation",neg_c
Anakie,NA,NA
Aramac,"From my results, I would mainly conclude that increased competition with siblings by brood size increase reduces nestling growth. However, reducing sibling competition by reducing brood size does not impact the growth of nestlings: they do not have enhanced growth because of reduced competition.
Another conclusion from my results would be that nestlings reared away from their natal nest tend to have an increased growth compared to chicks reared in their natal nest. This would mean that nestlings get a competitive advantage when reared by foster parents, surrounded mostly by non-kin â€œsiblingsâ€.
",neg_q
Ararat,nestlings which were cross fostered had slightly longer tarsi and were larger,neg_c
August,There is clear evidence that the growth of nestling blue tits is moderately to strongly (sensu Cohen) influenced by competition with siblings. Brood size manipulation had a strong effect on chicks weight with chicks reared in nests where brood size was reduced by 25% being on average 1.08g heavier than chicks reared in nests where brood size was enlarged by 25%,neg_c
Avenel,"From our analyses, we found that the competition between siblings does affect the growth of the nestlings. It is evident in our linear mixed-effects model where both the weight and tarsus length is affected by the total number of chicks present in the nest. It is especially true when extra chicks were added to a nest as a part of experimental manipulation, however, removal of chicks did not show a significant effect. The results from random variable effects also suggest that area where the nest is located can also affect the growth of the chicks, probably due to proximity to resources (as compared to some other area) which makes foraging easier for the parents. These findings can help us understand sibling competition for resources in nestling blue tits (Cyanistes caeruleus) which can further be replicated in other species as well.",neg_q
Bamaga,"
Here, I assume that brood size reflects the amount of within-nest competition. 
When the brood size, and thus competition, increase ~25% (see methods), tarsus length is reduced by 0.319 units (-0.319 (-0.431; -0.208)) in the average sized brood. Moreover, when brood size is decreased by ~25%, the tarsus size increased, but only marginally so, by 0.090 units (estimate (95% CI): 0.090 (-0.017; 0.197)) in the average size brood. Thus, the general conclusion is that increasing competition has negative effects on the growth of a blue tit nestlings.
",neg_q
Barmah,"Results indicate that competition with siblings has a significant effect on the growth (average and variation) and survivorship of nestling blue tits. These effects were still significant after accounting for potential confounding variables related to environmental conditions and experimental manipulation. However, it should be highlighted that the relationship among the variables is usually weak, especially for growth variance and survivorship.Both net_rearing_manipulation and rear_Cs_at_start_of_rearing were associated with the outcome variables, though net_rearing_manipulation was not significantly associated with tarsus length in my final model.Similarly, more rear_Cs_at_start_of_rearing was linked shorter tarsus lengths and lower weights. More siblings, and presumably additional competition, was on balance worse for nestling growth Net_rearing_manipulation was still associated with weight, so an increase in the number of chicks in the nest was linked to lower weights. Similarly, more rear_Cs_at_start_of_rearing was linked shorter tarsus lengths and lower weights. More siblings, and presumably additional competition, was on balance worse for nestling growth. ",neg_q
Barmer,"All in all, our results suggest that natural blue tit brood sizes are adjusted to resource availability, as fledging rate does not strongly depend on brood size and is not increased by the net removal of chicks. However, we found evidence that brood sizes are too large to guarantee an optimal growth rate for all chicks and that chicks from smaller broods tend to grow faster. These observations clearly demonstrate a trade-off between the numerosity of offspring and its average quality.",neg_q
Batlow,"We conclude that sibling competition influences nestling growth because nestlings from experimentally increased broods were smaller relative to experimentally decreased broods. Further, there was a negative relationship between nestling size and brood size among nestlings from manipulated broods. However, there was little evidence of this pattern within the unmanipulated control broods, likely because parents optimize clutch size based on individual state and annual environmental conditions. Finally, the strength of the effect of sibling competition on nestling growth varied across the study years. Nestlings from larger broods were smaller when measured at 14 d, relative to nestlings from smaller broods. However, the effect of brood size on nestling size was very weak among unmanipulated control broods
",neg_q
Baxter,The competition with sibling is an important determinant of growth.,neg_c
Beltan,"Competition among siblings has a negative effect on both, female and male nestling growth. Both, size and weight of individual nestlings measured 14 days after hatching decrease substantially with increasing numbers of nestlings reared in the same nest.",neg_c
Bethan,"The growth of nestling blue tits is directly impaired by competition with siblings, by about 0.22 grams per additional sibling. The lack of a negative association with the number of fledged birds from the rearing nest suggests that this may be less related to the absolute number of siblings, but rather the extent to which the number of siblings exceeds the number which the provisioning adults are capable of rearing.",neg_q
Beulah,THP paraphrase: competition reduced chick growth regardless of how competition is defined,neg_c
Bilpin,Competition has a negative effect on growth.,neg_c
Bindoo,"All definitions of sibling competition had a statistically significant, negative impact on all definitions of growth, while controlling for expected growth on the basis of the average of the hatch nest. However, the effect sizes were small, and only two measures of growth (weight and BMI) had enough variance explained by the tarsus length measure of sibling competition to be considered of practical interest. Thus, overall sibling competition has a modest negative impact on growth.",neg_q
Blinma,"Although the effect of brood size both at the beginning of the nestling period (just after manipulations) and on day 14 are significant, the brood size only explains 1.6% of the variation in tarsus length and 3.8% of the variation in chick weight on day 14. The effect of the experiment itself, (being moved or being in a brood that was unnaturally large regardless of brood size) seem to have stronger effects on the nestlings than being brought up with one additional sibling. Large differences in brood size will, however, have stronger effects on nestling size and weight.",neg_q
Boonah,"My results suggest that nestling growth is negatively impacted by the number of siblings, but the impact explains a small amount of the variation in nestling growth.",neg_c
Boulia,Nestling growth in blue tits is significantly influenced by sibling competition,neg_c
Bourke,"To what extent is the growth of nestling blue tits (Cyanistes caeruleus) influenced by competition with siblings?  

The cross-foster experiment showed that brood size and treatment level significantly affected nestling growth at 14 days (Table 1). Our analysis suggests that nestlingsâ€™ growth decreased with increasing number of siblings (Table 2, beta= -0.057).  


",neg_c
Bowral,"We conclude that the evidence is mixed regarding whether competition with siblings affects growth. On one hand, when analyzing control nests (which have naturally occurring variation in brood size), we find no evidence that chicks that tend to be smaller in larger broods. 

In all nests analyses, we find in one set of analyses that the effect of adding chicks depends on the original brood size--there is a larger effect in nests that were bigger to begin with, and close to no effect when original brood size is small. Chick substraction appears to have little effect in these analyses.

On the other hand, in our other set of all nests analyses we see some positive evidence for an effect of siblings, as there were significant negative main effects for both brood size and net manipulation, suggesting that extra chicks lead to smaller average sizes in the nest.

One possible interpretation of these results is that chicks suffer when they grow up in broods that are larger than what the mothers intended to have, perhaps particularly so when those broods were large to begin with. However, within the normal range of brood sizes (i.e. in control nests), parents are able to adjust care levels such that outcomes for chicks are similar across different levels of sibling competition.",mixed
Bright,"Mean nestling mass (as an index of ""growth"") appears to be negatively influenced by number of siblings after accounting for genetics, and spatial and temporal autocorrelation. However, parental genetic effects may be far more important in influencing growth than brood size alone.",neg_q
Buchan,"The growth of nestlings blue tits generally decreases with increased competition with siblings as shown by the overall relationship between chick growth rate and rear nest brood size (Fig. 1B). Experimental manipulations of nests showed that relative increased in nestling competition results in decreased chick growth rates compared to all other nests (i.e. control and decreased treatments; Fig. 1A). The lack of difference between control and decreased nests (Fig. 1A) could be because breeding adults can only invest in offspring provisioning as much as their condition or fitness allows, and the original clutch may have been close to their maximal investment capacity. Only those in increased treatment nests were pushed beyond their limits to provide and offspring growth suffered as a consequence. Decreased treatment nest chicks may not have been provided with excessive food (which could result in increased in chick growth) as adults save energy for future reproductive efforts, or there may be some other physiological constraint to the rate of growth, regardless of possibly higher provisioning rates at decreased treatment nests.",neg_q
Bunbur,"From this analysis, I conclude that chick growth, as measured by mass and tarsus length at day 14, is less affected by the original brood size than by the studyâ€™s manipulation of chicks within a nest. Possibly birds maximize their breeding success by increasing or decreasing clutch size according to environmental conditions, parental experience, or other factors not measured in this study.",none_q
Burnie,"Competition with siblings reduces growth of nestling blue tits when clutch size is artificially increased beyond the size produced by the mother, and presumably, the amount of food brought by the rearing parents is insufficient for all chicks in the nest. The effect of one extra chick beyond the initial size (and presumably, sufficient food supply) corresponds to a decrease of 0.32g at 14 days on average. This effect is biologically significant, as it represents a decline of 3.1% in mean body weight, and 0.25 standard deviations in the body weight of chicks at that age.",neg_q
Byrock,"Sibling count had a statistically significant effect on both measures of nestling growth. The 0.065 g decrease in mass for each additional sibling represents only a 0.63% change from the mean mass of 10.276 g. The 0.020 mm decrease in tarsus length per additional sibling represents a 0.12 % change from the mean of 16.7276 mm. Given the range in brood size from 1 to 17, the difference in mass and tarsus length due to sibling competition could be as much as 10.08% and 1.92%, respectively, when comparing the extremes of the brood size range. This indicates a potentially biologically significant effect when considering the extremes of brood size, but minor changes in brood size are unlikely to have a biologically significant effect.",neg_c
Caigun,"Growth appears to be negatively affected by early competition with siblings, yet somehow positively correlated with the number of siblings in a nest at the end of nesting. It is possible that these latter results are confounded by great provisioning parents. For example, perhaps parents who can support many offspring (those with high nestling counts on day 14), do so much more efficiently, and those nests with lower numbers of nestlings on day 14, are of poorer quality - thus those individuals have grown less, despite less competition.",mixed
Cairns,"There is a small be statistically significant effect of sibling competition on nestling blue tit growth - a 1% increase in brood size reduces tarsus length by 0.006 mm (95 CIs: -0.007 to -0.005) (as a one percent change in brood size does not mean much, we might extrapolate and say that a 50% increase in brood size reduces a chick's tarsus length by 0.3 mm)",neg_q
Camden,There appears to be no effects of sibling competition on the growth of nestling blue tits.,none_c
Casino,NA,NA
Cattai,"More siblings have a negative impact on blue tit chick growth, both, in terms of biomass and tarsus length. Even though males are, on avergae heavier and larger than females, more numerous clutches have negative impacts on chick growth for both sexes. However, environmental effects such as clutch size explain more variation in biomass than in tarsus length, assuming leg size is more genetically determined than weight, which seems a more plastic traist.",neg_c
Adelong,nestlings had larger tarsus lengths when rearing brood size 14 days after hatching was larger. nestlings were lighter when rearing brood size 14 days after hatching was larger,mixed
Angasto,"There was no interaction between between brood size and experimental treatment on tarsus length (parametric bootstrap p-value : p = 0.508). However, there was a negative effect of the Enlarged treatment on tarsus length as compared to the Control treatment (Table 1 ;  Figure 1 ; p = 0.001), but no effect of body size (Table 1 ; p= 0.088). There was no 3-way interaction between between brood size, experimental treatment and chick sex on tarsus length (p = 0.323), or any other two-way interactions (brood size * treatment: p = 0.389, brood size * chick sex: p= 0.229, treatment * chick sex: p= 0.672). However, as found in the full dataset, there was an effect of experimental treatment (p = 0.001), with a reduced body size in the Enlarged treatment (Table 3), but no effect of body size (p= 0.619).
For chick body condition, there was a significant interaction between brood size and experimental treatment (Table 2 ; p- = 0.034), with a negative effect of brood size on chick weight in the Reduced treatment but not the others and an overall lower weight in Enlarged broods (Figure 2).
",neg_q
Antwerp,Brood size has a significant effect on sibling growth with reduced broods having longer tarsi and heavier bodies compared with controls while chicks in enlarged broods had shorter tarsi and lighter bodies.,neg_q
Araluen,"tarsus length is negatively associated to the number of chicks in nests with an additional number of chicks only, suggesting that clutch size is adjusted to available resources and resources acquired by chicks might be reduced by competition in such nests. Body weight is negatively affected by the number of chicks per nest and by the day of hatching in a polynomial way, suggesting an optimal hatching day according to the phenology of resource availability and a negative effect of sibling competition in nest.",neg_q
Arltung,"An experimental decrease in sibling competition increased chick growth and decreased chick mortality (presumably because of improved nourishment), whereas experimental increase in sibling competition  decreased chick growth and increase chick mortality.",neg_c
Armadal,"Sibling competition seemed to be an important factor, measured both by its statistical significance but also its effect size compared to other measured variables.  However, it still only explained a minority of the observed variation in growth, and there are apparently other factors associated with the chick's parents or nest that determine growth more strongly.",neg_q
Ashford,"Chicks raised with larger broods had significantly smaller body weight at 14 days post hatching, relative to chicks raised in smaller broods(F = 38.679, df = 1, 411.7, p < 0.001). With each standard deviation increase in brood size (i.e. 3.25), there is an 0.29 Â± 0.05 factor decrease in chick weight. Therefore, increased sibling competition has a negative effect on the growth of nestling blue tits (Cyanistes caeruleus).",neg_c
Babinda,"Tarsus length at day 14 was negatively affected by the number of siblings present in the nest at start of rearing (mean: -0.090,  CI: -0.133 to -0.046), but positively by the number of siblings present in the nest at day 14 (mean: 0.088  CI: 0.028 to 0.148).
My conclusion is that growth of nestling blue tits seem to be reduced by competition with siblings when very young, and not affected by the number of siblings as eggs. It looks as if growth is promoted by having more siblings present at a later stage, which is the opposite from the effect of competition with siblings when younger. However, it is possible that the number of chicks present at day 14 is confounded with something else affecting their growth not accounted for by the model. In terms of body mass, females seem to be more affected by this positive effect compared to males.
Body weight at day 14 was also negatively affected by the number of siblings present in the nest at start of rearing (mean: -0.250, CI: -0.342 to -0.153), and positively by the number of siblings present in the nest at day 14 (mean: 0.257, CI: 0.127 to 0.391). My conclusion is that growth of nestling blue tits seem to be reduced by competition with siblings when very young, and not affected by the number of siblings as eggs. It looks as if growth is promoted by having more siblings present at a later stage, which is the opposite from the effect of competition with siblings when younger. However, it is possible that the number of chicks present at day 14 is confounded with something else affecting their growth not accounted for by the model. In terms of body mass, females seem to be more affected by this positive effect compared to males.",mixed
Balingu,"In conclusion, according to the results obtained in our study, blue tits growth is influenced by competition with siblings as it is evidenced in the enlarged nests. In fact, bigger nestlings are most likely to survive to the first breeding season. We rejected the changes in body mass to be due to genetic characteristics of males with which the female copulated. Although males were heavier with longer tarsi than females, survival to first breeding season is not influenced by sex. This suggests that sex is not related to competition with siblings. Even though weight presented more noticeable changes related to growth, tarsus length supports our analysis as well.",neg_q
Ballina,"Despite model poor predictive power, there is evidence for unambiguous, if small, negative impacts of increased competition on Blue Tit chick growth.",neg_c
Bargara,"Model 1: Effect of brood size on chick body condition (SMI)
The larger the brood, the lower the Scaled Mass Index -> probably due to parents ability to feed larger broods as efficiently.
Females are in better condition than males (higher Scaled Mass Index -> Could be due to behavioral differences in begging, parents tendency to feed female chicks more or some physiological specificities of the sexes.
Chicks that hatch earlier in the season and from smaller brood sizes are more likely to come back. This study does not make any difference between 1) chicks dying before and after fledgling or 2) between chicks that did not survive and chicks that survived but went breeding in another area. Therefore, this model is should be interpreted carefully.
Mostly, the lay date was determinant for the number of fledglings but this may be due to predation pressure changing or parents condition evolving as they breed multiple times over the breeding season.",neg_c
Barooga,"The growth of nestling blue tits is influenced by competition with siblings. The relevant factor is not the absolute number of siblings, but the relative change in brood size compared to the expected brood size. It seems that parents ""decide"" to lay as many eggs as they can comfortably raise (a 'quality' confounder), but having fewer or more siblings respectively decreases or increases the intensity of sibling competition.Every 10% decrease in brood size compared to the number of hatched eggs increases the average tarsus length by 0.06mm. I am not sure why the relevant baseline is clutch size for weight and hatched clutch size for tarsus length; it may have something to do with the precise growth pattern (e.g. lengthening bones first, then putting on weight).
The growth of nestling blue tits is influenced by competition with siblings. The relevant factor is not the absolute number of siblings, but the relative change in brood size compared to the expected brood size. It seems that parents ""decide"" to lay as many eggs as they can comfortably raise (a 'quality' confounder), but having fewer or more siblings respectively decreases or increases the intensity of sibling competition. Every 10% decrease in brood size compared to clutch size increases the average weight of nestlings by 0.18 grams.",neg_q
Barraba,"With nestlings from enlarged broods being on average approximately 10% lighter compared to those from reduced broods, our results demonstrate a strong general effect of a brood size manipulation of Â± 25% on nestling mass at day 14 in blue tits consistent across both our data sets.",neg_q
Belmont,"Independently of the sex, the rearing nest and the manipulation of the brood size, the growth of the nestling blue tits seems to be highly affected by competition with siblings. Giving the high correlation between number of sibling or non-sibling with total chicks in the nest, it seems that be genetically related or not made no difference. Overall, growth is reduced and weight declines as the number of siblings in the nest increases. As reported in the results, chicks reared in a nest with only one sibling (mean: 10.88 grams Â± 0.12 SE) weighed on average 12% more (1.41 Â± 0.18) compared chicks reared with eight siblings (9.47 Â± 0.13).",neg_c
Bemboka,"As clutch size increases, the growth outcomes (tarsus length and weight) significantly decrease.",neg_c
Benalla,"Both tarsus length and mass were significantly decreased when broods were experimentally increased, indicating that heightened sibling competition decreases growth. Decreasing brood size (i.e., alleviating natural levels of competition) had a more modest effect in the opposite direction, once again consistent with a negative effect of sibling competition on growth.",neg_c
Bendigo,"Body index was negatively affected by the date of the first egg laid in the clutch where the chick hatched (although marginally significant for males), the clutch size in the nest were the chick was hatched and the net change in chick number in the nest of rearing (Table 2). Body condition impoverished with the number of siblings in the nests where hatched and reared and tend to improve when chicks hatched early in the breeding season.
Body mass was negatively affected by the clutch size in the nest where the chick was hatched and the net change in chick number in the nest of rearing. Chicks had lower body mass when hatched and reared in nests with more siblings. Chicks reared in a different nest had increased body mass than birds reared in the hatching nest (Table 1).",neg_c
Berrima,"Increased competition among siblings in blue tits impairs growth: it decreases fledging tarsus length and body mass,",neg_c
Berwick,"No relationship between tarsus length and competition. For body mass at day 14, there appeared to be an effect of competition with nest-mates. Body mass was negatively correlated with number of nestlings in the nest at day 0 post-transfer, where a large number of nestlings resulted in lower body mass. The number of nestlings that fledged was negatively correlated with the number of nestlings in the nest where a smaller number of nestlings survived to fledging with an increase in the number of nestlings in the nest",neg_q
Beverle,"I conclude that there is some evidence that growth may be influenced by competition with siblings. Larger broods and experimentally enlarged nests were associated with smaller and lighter nestlings on day 14. Furthermore, there was more variation in nestling size and mass on day 14 in nests with experimentally increased brood sizes, which may indicate that some siblings were not able to compete effectively for resources in those broods. Those effects may also underestimate competition, since nestlings were also more likely to die before fledging (or measurement) in enlarged broods. 

However, most differences observed were driven by broods that were enlarged beyond the natural range of variation in brood size and there was less evidence that brood reduction resulted in a release from sibling competition. Therefore, it is somewhat unclear how big of a role sibling competition plays in driving variation in nestling growth under normal conditions and it may only be especially important at larger brood sizes or when resources are especially limited.",neg_q
